statId,statNm,lat,lng,available_count,total_chargers,availability_ratio_observed,reliability_grade,reliability_grade_effective,observation_age_minutes,as_of_ts,recommend_public_default,parking_is_mock,traffic_is_mock
ME22C189,군위경찰서,36.2347847,128.5666862,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME22C193,군위군노인복지관,36.2320257,128.5706331,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME22C1A1,대구달서경찰서,35.8300093,128.5338376,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME22C1A2,대구재활센터,35.8442461,128.4860036,0,1,,CHECK_REQUIRED,CHECK_REQUIRED,,2026-08-09T07:23:21+09:00,True,False,False
ME22C1A3,비원노인복지관,35.8819033,128.5557923,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME22C1A4,달성군종합사회복지관,35.7302262,128.4517363,1,1,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME22C250,논공(대구)휴게소(5번국도),35.7642989,128.4020386,1,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME22C251,대구동부경찰서,35.8739669,128.7202251,1,2,1.0,CHECK_REQUIRED,NORMAL,10.016666666666667,2026-08-09T07:23:21+09:00,True,False,False
ME22C252,대구남부경찰서,35.8425421,128.5840598,1,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,130.15,2026-08-09T07:23:21+09:00,True,False,False
ME22C253,한국산업인력공단 대구지역본부,35.83590547,128.50580664,1,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME22D191,복현지구대,35.8941604,128.617994,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME22D192,대곡파출소,35.8030751,128.5287758,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME22D1C0,강북지구대,35.9436296,128.5696827,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME22D245,군위전통시장 주차타워,36.2405333,128.5678494,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME22D254,화원파출소,35.8025315,128.5070956,2,2,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME23A218,대구지방기상청,35.8784641,128.6530046,2,2,1.0,CHECK_REQUIRED,CHECK_REQUIRED,20.016666666666666,2026-08-09T07:23:21+09:00,True,False,False
ME23B113,군위군청,36.2427968,128.5716618,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME23B114,대구광역시교통연수원,35.8302171,128.630496,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
ME23B115,남구시니어행복센터,35.8409928,128.5610222,1,1,1.0,HIGH,HIGH,0.0,2026-08-09T07:23:21+09:00,True,False,False
