station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched
DGJC0001,(RS)대구시_지능형자동차부품진흥원,35.646025,128.400977,CV000051,대구시_지능형자동차부품진흥원,0.0,80.0,True
DGJD0001,(RS)대구시_태전2동,35.921467,128.548776,CV000811,대구시_태전2동,0.0,80.0,True
DGJG0001,(RS)대구시_중구청,35.869326,128.606158,CV000535,대구시_중구청,0.0,80.0,True
DGLD0001,(RS)대구시_산격1동,35.900442,128.596994,CV000810,대구시_산격1동,0.0,80.0,True
DGMS0001,(RS)대구시_명성푸르지오,35.888987,128.589744,CV000560,대구시_명성푸르지오,0.0,80.0,True
DGMT0001,(RS)대구시_무태조야동 행정복지센터,35.921353,128.597046,CV000549,대구시_무태조야동 행정복지센터,0.0,80.0,True
DGND0001,(RS)대구시_내당4동,35.859002,128.551832,CV000808,대구시_내당4동,0.0,80.0,True
DGNG0001,(RS)대구시_남구청,35.846016,128.597695,CV000559,대구시_남구청,0.0,80.0,True
DGNS0001,(RS)대구시_남산3동 행정복지센터,35.85991,128.585558,CV000567,대구시_남산3동 행정복지센터,0.0,80.0,True
DGOB0001,(RS)대구시_대구은행 월배지점,35.814788,128.526255,CV000556,대구시_대구은행 월배지점,41.3,80.0,True
DGOP0001,(RS)대구시_옥포읍 행정복지센터,35.78936893,128.4638135,CV000566,대구시_옥포읍 행정복지센터,25.3,80.0,True
DGRS0001,(RS)대구시_두류3동,35.853669,128.555471,CV000815,대구시_두류3동,0.0,80.0,True
DGSA0001,(RS)대구시_신암2동 행정복지센터,35.87998,128.612701,CV000555,대구시_신암2동 행정복지센터,0.0,80.0,True
DGSA0002,(RS)대구시_대구은행 신암동지점,35.880994,128.614622,CV000558,대구시_대구은행 신암동지점,0.0,80.0,True
DGSC0001,(RS)대구시_지산2동,35.823117,128.62802,CV000814,대구시_지산2동,0.0,80.0,True
DGSD0001,(RS)대구시_상리공원,35.863071,128.533954,,,,80.0,False
DGSH0001,(RS)대구시_송현2동 행정복지센터,35.832788,128.545582,CV000553,대구시_송현2동 행정복지센터,0.0,80.0,True
