statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,traffic_source
CV001002,(주)인터불고 엑스코,,,,1000,False,utic
CV001048,대구시_유천동 행정복지센터,,,,1000,False,utic
CV001076,서재 하이빌딩 전기차충전소,,,,1000,False,utic
CV001113,동구 각산종합상가 전기차 충전소,,,,1000,False,utic
CV001121,시설공단대구_신매2 공영주차장,,,,1000,False,utic
CV001122,시설공단대구_신기 공영주차장,,,,1000,False,utic
CV001123,시설공단대구_호림1 공영주차장,,,,1000,False,utic
CV001124,시설공단대구_호림2 공영주차장,,,,1000,False,utic
CV001126,시설공단대구_본리2 공영주차장,,,,1000,False,utic
CV001127,시설공단대구_서변1 공영주차장,,,,1000,False,utic
CV001129,시설공단대구_갓바위3 공영주차장,,,,1000,False,utic
CV001130,제봉뜰 두류봉제 지식산업센터,,,,1000,False,utic
CV001171,대구시_서대구역(남측) 주차장,L93171040203,[공사] 북비산로 서대구역네거리 에서 서재 방향 1차로 가로수 벌목 주의운전,214.2,1000,True,utic
CV001208,대구상수도사업본부 달서사업소,,,,1000,False,utic
CV001219,(주)금오모빌리티,,,,1000,False,utic
CV001221,엑스코 제2전시장,,,,1000,False,utic
CV001223,JB관광호텔,,,,1000,False,utic
CV001234,내당1동 행정복지센터,,,,1000,False,utic
CV001241,시설공단대구_어린이회관 공영주차장,,,,1000,False,utic
CV001242,시설공단대구_달서대로 공영주차장,,,,1000,False,utic
CV001264,케이스식자재마트,,,,1000,False,utic
CV001297,(주)젠텍스,,,,1000,False,utic
CV001308,카페스톤 팔공산점,,,,1000,False,utic
CV001314,노사평화의전당,,,,1000,False,utic
CV001316,관문시장제1공영주차장,,,,1000,False,utic
CV001318,강당골공영주차장,,,,1000,False,utic
CV001323,롯데렌탈 동대구점,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,521.3,1000,True,utic
CV001343,서대구제일교회,,,,1000,False,utic
CV001354,다사문양리마을공동주차장,,,,1000,False,utic
CV001396,대구테크노파크 대구벤처센터,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,494.1,1000,True,utic
CV001397,대구테크노파크 신기술산업지원센터,,,,1000,False,utic
CV001398,대구테크노파크 벤처공장,,,,1000,False,utic
CV001426,경운대학교 대구교육관,,,,1000,False,utic
CV001441,호텔인터불고대구 파크빌리지주차장,,,,1000,False,utic
CV001462,아이빌,,,,1000,False,utic
CV001464,시민생활스포츠센터,,,,1000,False,utic
CV001488,대덕문화전당 주차장,,,,1000,False,utic
CV001489,대구출판산업지원센터,,,,1000,False,utic
CV001490,대구오페라하우스,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,943.2,1000,True,utic
CV001491,대구스마트시티센터,,,,1000,False,utic
CV001492,대구소프트웨어고등학교,,,,1000,False,utic
CV001493,대구달서구 청소년수련관 공영주차장,,,,1000,False,utic
CV001494,대구 월광주차장,,,,1000,False,utic
CV001495,달성군민체육관,,,,1000,False,utic
CV001496,달서아트센터,,,,1000,False,utic
CV001525,옥녀공원,,,,1000,False,utic
CV001529,빌리브스카이아파트,,,,1000,False,utic
CV001534,비슬산자연휴양림 공영주차장,,,,1000,False,utic
CV001544,대구육상진흥센터,,,,1000,False,utic
CV001545,달성1차산업단지관리공단 주차장,,,,1000,False,utic
