statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
CV001488,대덕문화전당 주차장,,,,1000,False
CV001489,대구출판산업지원센터,27290-00054,출판밸리수변공원,299.4,1000,True
CV001490,대구오페라하우스,,,,1000,False
CV001491,대구스마트시티센터,27260-00086,의료2공원,383.4,1000,True
CV001492,대구소프트웨어고등학교,,,,1000,False
CV001493,대구달서구 청소년수련관 공영주차장,,,,1000,False
CV001494,대구 월광주차장,27290-00050,월광1수변공원,312.2,1000,True
CV001495,달성군민체육관,,,,1000,False
CV001496,달서아트센터,27290-00032,장기공원,308.4,1000,True
CV001525,옥녀공원,,,,1000,False
CV001529,빌리브스카이아파트,,,,1000,False
CV001534,비슬산자연휴양림 공영주차장,,,,1000,False
CV001544,대구육상진흥센터,27260-00086,의료2공원,811.2,1000,True
CV001545,달성1차산업단지관리공단 주차장,,,,1000,False
CV001555,화원명곡체육공원주차장,,,,1000,False
CV001562,한국도로교통공단 대구교통방송,27200-00002,대명2공원,341.4,1000,True
CV001564,용산환승공영주차장,27290-00019,용산공원,810.1,1000,True
CV001566,불로다목적운동장 주차장,,,,1000,False
CV001580,대구북구청소년회관주차장,27230-00003,대불공원,346.2,1000,True
CV001581,서변2공영주차장,27230-00010,서변공원,243.9,1000,True
CV001589,팔달공영주차장,,,,1000,False
CV001590,팔공산자연공원(동치골주차장),,,,1000,False
CV001592,칠성공영주차장,27110-00005,2.28기념 중앙공원,799.1,1000,True
CV001594,지산공영주차장,27260-00076,지산공원,32.9,1000,True
CV001595,중리시영2차아파트,27170-00002,평리공원,805.6,1000,True
CV001600,명문덴탈,27140-00097,근린공원,792.5,1000,True
CV001601,두류공원4공영주차장(두류테니스장 맞은편),27290-00179,두류공원,574.5,1000,True
CV001604,대구시_염색공단제3공영주차장,,,,1000,False
CV001605,대구시_염색공단제2공영주차장,,,,1000,False
CV001606,대구시_염색공단제1공영주차장,,,,1000,False
CV001619,동구보건소,27140-00040,대구선동촌공원,267.2,1000,True
CV001623,달서교하부공영주차장,27170-00005,가르뱅이공원,863.4,1000,True
CV001626,화원시장공영주차장,,,,1000,False
CV001627,호산공영주차장,,,,1000,False
CV001631,용산2공영주차장,27290-00019,용산공원,214.9,1000,True
CV001632,신매3공영주차장,27260-00079,노변공원,448.8,1000,True
CV001634,본리1공영주차장,27290-00008,무지개공원,123.6,1000,True
CV001635,대구월곡공영주차장,27290-00020,월곡공원,123.2,1000,True
CV001636,대구시각장애인복지관,27290-00019,용산공원,503.9,1000,True
CV001637,달성군노인복지관,,,,1000,False
CV001638,달구벌재활스포츠센터,27290-00019,용산공원,535.0,1000,True
CV001646,대구광역시립남부도서관,27200-00029,앞산공원,879.1,1000,True
CV001678,월광수변공원주차장,27290-00050,월광1수변공원,84.4,1000,True
CV001687,연암공원 남편주차장,27230-00002,연암공원,131.5,1000,True
