statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
CV003131,151-1-000072,,,
CV003132,156-2-000068,,,
CV003133,152-1-000046,,,
CV003134,154-1-000205,,,
CV003136,154-1-000147,,,
CV003137,157-4-000007,,,
CV003138,156-1-000012,,,
CV003139,152-2-000024,,,
CV003140,157-1-000070,,,
CV003141,157-1-000007,,,
CV003142,157-1-000076,,,
CV003144,154-1-000142,,,
CV003145,157-1-000053,,,
CV003148,154-2-000068,,,
CV003149,151-2-000045,2.849991049037145,-7.0,7.0
CV003150,155-2-000049,1.178030178747903,-1.0,7.0
CV003158,157-1-000010,,,
CV003162,153-2-000044,,,
CV003163,153-2-000044,,,
CV003165,155-3-000005,0.8806305718527113,-2.0,7.0
CV003176,156-2-000012,,,
CV003177,156-2-000012,,,
CV003178,156-2-000012,,,
CV003179,156-2-000012,,,
CV003181,155-1-000089,,,
CV003185,154-1-000139,,,
CV003193,153-1-000080,,,
CV003194,153-1-000080,,,
CV003205,157-4-000007,,,
CV003209,157-1-000069,,,
CV003256,361-1-000009,,,
CV003258,361-3-000002,,,
CV003276,156-2-000020,,,
CV003282,152-1-000046,,,
CV003283,152-1-000046,,,
CV003284,152-1-000046,,,
CV003286,153-1-000034,,,
CV003304,155-2-000107,,,
CV003315,154-1-000014,,,
CV003352,151-2-000076,,,
CV003353,151-2-000076,,,
CV003360,157-1-000072,,,
CV003428,154-1-000012,,,
CV003437,152-1-000112,,,
CV003444,155-1-000006,,,
CV003445,154-2-000039,0.8806305718527111,2.0,7.0
CV003446,152-2-000049,,,
CV003447,152-1-000116,,,
CV003449,155-2-000060,2.4743582965269675,8.0,7.0
CV003450,154-1-000158,,,
CV003451,155-2-000059,9.559694299612351,-26.0,7.0
CV003452,155-1-000017,,,
CV003453,155-1-000127,,,
CV003454,155-1-000127,,,
CV003455,155-1-000128,,,
CV003456,154-1-000155,,,
CV003457,152-2-000011,,,
CV003458,152-1-000068,,,
CV003459,154-3-000001,,,
CV003460,154-1-000136,,,
CV003461,154-2-000066,,,
CV003462,155-1-000127,,,
CV003463,155-1-000079,,,
CV003464,155-1-000169,,,
CV003465,154-1-000115,,,
CV003466,154-2-000070,,,
CV003468,154-1-000041,,,
CV003479,151-2-000034,,,
CV003480,155-3-000006,3.6421567954234217,-10.0,7.0
CV003482,150-2-000017,2.87849166851572,-8.0,7.0
CV003483,152-1-000044,,,
CV003484,156-3-000001,,,
CV003535,154-1-000205,,,
CV003559,155-1-000145,,,
CV003560,157-1-000001,,,
CV003565,155-2-000054,,,
CV003566,155-2-000016,2.6649654437396637,-7.0,7.0
CV003568,155-1-000174,,,
CV003569,155-1-000164,,,
CV003570,150-1-000172,,,
CV003571,150-2-000030,21.671951213210015,-62.0,7.0
CV003572,150-1-000108,,,
CV003573,150-2-000002,30.22770725202766,-85.0,7.0
CV003646,151-1-000112,,,
CV003647,151-2-000008,2.050385727772476,-5.0,7.0
CV003648,151-1-000112,,,
CV003672,154-1-000094,,,
CV003673,154-1-000094,,,
CV003674,154-2-000054,3.5225222874108426,8.0,7.0
CV003698,361-2-000045,,,
CV003716,361-2-000044,,,
CV003728,156-2-000063,,,
CV003763,156-1-000086,,,
CV003786,155-1-000186,,,
CV003792,151-1-000092,,,
CV003800,156-2-000085,1.069044967649699,-3.0,7.0
CV003801,156-2-000086,1.64130361329658,-4.0,7.0
CV003862,155-1-000099,,,
CV003863,155-1-000159,,,
CV003864,155-1-000099,,,
CV003871,361-1-000001,,,
CV003914,154-1-000206,,,
CV003916,151-2-000034,,,
CV003917,151-1-000124,,,
CV003918,151-1-000122,,,
CV004040,154-1-000084,,,
CV004043,154-1-000084,,,
CV004072,154-1-000084,,,
CV004086,152-1-000055,,,
CV004097,151-1-000043,,,
CV004098,151-1-000043,,,
CV004099,151-1-000043,,,
CV004100,151-1-000043,,,
CV004101,151-1-000043,,,
CV004102,151-1-000042,,,
CV004103,151-1-000042,,,
CV004104,155-2-000069,,,
CV004108,154-1-000040,,,
CV004116,151-1-000060,,,
CV004134,155-2-000100,,,
CV004253,361-2-000011,,,
CV004267,157-1-000002,,,
CV004302,152-2-000049,,,
CV004305,156-2-000089,1.124858267715972,-3.0,7.0
CV004317,152-2-000051,2.0603150145508513,-7.0,7.0
CV004318,152-2-000050,0.349927106111882,-1.0,7.0
CV004321,151-1-000152,,,
CV004326,157-1-000007,,,
CV004336,156-1-000106,1.0301575072754265,-3.0,7.0
CV004339,151-2-000021,,,
CV004351,151-1-000058,,,
CV004353,156-1-000062,,,
CV004390,154-1-000188,,,
CV004391,155-1-000187,,,
CV004423,156-2-000025,,,
CV004427,155-1-000171,,,
CV004428,156-1-000046,,,
CV004443,151-2-000005,1.1605769149479936,0.0,7.0
CV004463,156-1-000095,,,
CV004464,155-1-000123,,,
CV004465,151-2-000102,,,
CV004476,156-1-000067,,,
CV004482,156-2-000092,,,
CV004491,152-2-000011,,,
CV004500,157-1-000097,,,
CV004510,155-2-000065,0.34992710611188277,-1.0,7.0
CV004532,156-1-000005,,,
CV004541,155-1-000127,,,
CV004550,155-1-000106,1.8405855323893034,-2.0,7.0
CV004551,361-2-000004,,,
