statId,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm
CV003457,1520040500,361.5,22.0,2.0,지체
CV003458,1520017600,198.3,32.0,1.0,원활
CV003459,1540026900,72.9,44.0,1.0,원활
CV003460,,,,,
CV003461,1540064905,72.2,42.0,1.0,원활
CV003462,1550007000,131.5,40.0,1.0,원활
CV003463,1550009401,81.0,35.0,1.0,원활
CV003464,1550017500,103.9,29.0,1.0,원활
CV003465,,,,,
CV003466,,,,,
CV003468,1540088700,271.8,38.0,1.0,원활
CV003479,,,,,
CV003480,1550007406,207.5,27.0,1.0,원활
CV003482,1500014300,162.5,22.0,2.0,지체
CV003483,1520025500,61.6,22.0,2.0,지체
CV003484,,,,,
CV003485,,,,,
CV003535,1540025701,121.5,44.0,1.0,원활
CV003559,1550008903,51.7,27.0,1.0,원활
CV003560,,,,,
CV003565,,,,,
CV003566,1550032800,173.0,36.0,1.0,원활
CV003567,,,,,
CV003568,1550013100,235.1,29.0,1.0,원활
CV003569,1550034800,158.2,21.0,2.0,지체
CV003570,1500028100,85.0,22.0,2.0,지체
