statId,statNm,addr,lat,lng,chargers,parkingFree_Y,parkingFree_N,parkingFree_mode
PW010450,메트로팔레스1단지,대구광역시 수성구 동원로 135,35.8691804,128.6334693,10,10,0,Y
PW010451,유림노르웨이아침,대구광역시 달서구 구마로 97,35.8378288,128.5383673,10,10,0,Y
PW010464,안심역우방아이유쉘아파트,대구광역시 동구 금강로21길 10,35.8660655,128.733538,4,4,0,Y
PW010481,범어화성파크리젠시,대구광역시 수성구 동대구로 337,35.860632483946,128.6256068664,1,1,0,Y
PW010491,이안동대구,대구광역시 동구 송라로28길 14,35.878984316146,128.6159145955,4,4,0,Y
PW010494,하나교회19,대구광역시 달서구 월배로 235,35.8199683,128.5388945,3,3,0,Y
PW010507,용산1차서한화성타운,대구광역시 달서구 장산로 10,35.8543613,128.5300482,5,5,0,Y
PW010509,월성서한이다음,대구광역시 달서구 학산로 15,35.826938,128.5302784,5,5,0,Y
PW010511,수성보성타운,대구광역시 수성구 수성로 412,35.862011584441,128.6144894718,4,4,0,Y
PW010536,매호협화타운,대구광역시 수성구 천을로 181,35.843233315919,128.7102418811,4,4,0,Y
PW010597,신암청아람아파트,대구광역시 동구 신암로20길 39,35.8793672,128.6118299,10,10,0,Y
PW010616,영남네오빌,대구광역시 동구 동촌로 190,35.8810044,128.6615006,8,8,0,Y
PW010622,효성타운관리사무소,대구광역시 동구 경안로 809,35.8752156,128.7135687,5,5,0,Y
PW010697,이편한세상대신아파트,대구광역시 중구 달구벌대로 1943,35.8636965,128.576928,10,10,0,Y
PW010777,대구혁신LH5단지,대구광역시 동구 과학로 45,35.883290959086,128.7162541149,2,2,0,Y
PW010815,남산역화성파크드림,대구광역시 중구 남산로7길 7,35.858541819656,128.5824184071,5,5,0,Y
PW010849,성서주공6-1,대구광역시 달서구 성지로 35,35.853970596477,128.5202200245,2,2,0,Y
PW010851,신매역우방유쉘19,대구광역시 수성구 천을로23길 21,35.8458861,128.7039104,1,1,0,Y
PW011012,시지3차서한이다음,대구광역시 수성구 달구벌대로669길 20-20,35.836747665642,128.7236879867,2,2,0,Y
PW011117,태을빌딩(합자회사태을),대구광역시 북구 학정로 422,35.9421836,128.5638807,4,4,0,Y
PW011186,월배2차귀빈타운,대구광역시 달서구 월배로32안길 66,35.8128158,128.5287992,10,10,0,Y
PW011187,태크노폴리스남해오네뜨2차,대구광역시 달성군 유가읍 테크노대로5길 57,35.694893171271,128.4643970749,10,10,0,Y
PW011290,진천영남네오빌(민수),대구광역시 달서구 진천로18길 86,35.816840984,128.53828028,1,1,0,Y
PW011340,동우씨엠(주)/대구연경LH천년나무2단지,대구광역시 동구 연경지묘로 153,35.9472345,128.6277653,9,9,0,Y
